DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4647311;1;1;1;10;1;1;5;1974;44;1;5;3; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;63;3500,65245312494
4647312;1;1;1;10;1;1;1;1947;71;1;4;3; ;3; ; ; ;1; ; ;1;2;168000;2;1;2; ;4;6; ; ;2;6;06;63;3744,12891647509
4647313;1;1;1;10;1;2;7;1957;60;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;63;5141,13705217602
4647313;1;2;1;10;2;1;4;1977;41;3;4;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;63;5141,13705217602
4647313;1;3;1;10;1;2;1;2009;9;5; ;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;06;63;5141,13705217602
4647314;1;1;1;10;1;1;1;1984;34;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;63;4683,56204576361
4647314;1;2;1;10;2;2;5;1983;35;2;2;3; ;2; ;1;1;1; ; ;3; ; ;1;1;2; ;5;11;2; ;2;11;06;63;4683,56204576361
4647314;1;3;1;10;2;1;8;2006;11;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;63;4683,56204576361
4647314;1;4;1;10;2;1;11;2015;2;9; ;2; ;2; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;63;4683,56204576361
4647315;1;1;1;10;1;1;4;1950;68;1;3;3; ;3; ;2; ;2;1;18; ; ; ;2;1;2; ;3;5; ; ;2;5;06;63;3744,12891647509
4650053;1;1;1;10;1;1;8;1931;86;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1478,51824365218
4650053;1;2;1;10;2;2;9;1942;75;2;3;3; ;3; ;1;1;1; ; ;3; ; ;1;1;2; ;3;2; ; ;2;2;06;19;1478,51824365218
4650054;1;1;1;10;1;2;12;1969;48;1;6;3; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;2214,2989794585
4650054;1;2;1;10;2;2;6;2001;17;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;06;19;2214,2989794585
4650055;1;1;1;10;1;2;8;1983;34;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2286,12568352639
4650055;1;2;1;10;2;1;6;1983;35;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2286,12568352639
4650055;1;3;1;10;1;2;3;2006;12;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;2286,12568352639
4650056;1;1;1;10;1;1;7;1960;57;1;4;1;2;1;3; ; ;1; ; ;1;1;98;2;1;2; ;3;3; ; ;2;3;06;19;1255,06821446161
4650056;1;2;1;10;1;1;5;1933;85;5;3;3; ;3; ;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1255,06821446161
4650056;1;3;1;10;1;2;8;1926;91;5;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1255,06821446161
4650057;1;1;1;10;1;1;9;1973;44;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2286,12568352639
4650057;1;2;1;10;2;2;12;1981;36;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2286,12568352639
4650057;1;3;1;10;1;2;10;2007;10;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;2286,12568352639
4650058;1;1;1;10;1;1;5;1950;68;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1337,26856906312
4650058;1;2;1;10;2;2;7;1974;43;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1337,26856906312
4650058;1;3;1;10;3;1;5;1998;20;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1337,26856906312
4650059;1;1;1;10;1;1;11;1955;62;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1478,51824365218
4650059;1;2;1;10;2;2;11;1962;55;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1478,51824365218
4650060;1;1;1;10;1;1;2;1947;71;1;3;3; ;3; ;1;2;1; ; ;1;3;98;2;1;2; ;3;2; ; ;2;2;06;19;1478,51824365218
4650060;1;2;1;10;2;2;3;1946;72;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1478,51824365218
4650061;1;1;1;10;1;2;6;1976;42;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1349,15982553133
4650061;1;2;1;10;2;1;6;1952;66;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1349,15982553133
4650061;1;3;1;10;1;2;10;2006;11;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1349,15982553133
4650062;1;1;1;10;1;1;4;1988;30;1;2;2; ;1;5;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2669,10517557264
4650062;1;2;1;10;2;2;11;1991;26;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2669,10517557264
4650062;1;3;1;10;2;2;1;2012;6;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;2669,10517557264
4650062;1;4;1;10;2;2;8;2016;1;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2669,10517557264
4650062;1;5;1;10;5;2;4;1957;61;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2669,10517557264
4650062;1;6;1;10;6;2;4;1947;71;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2669,10517557264
4650062;1;7;1;10;5;1;7;1954;63;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2669,10517557264
4650063;1;1;1;10;1;1;9;1979;38;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2483,64123106325
4650063;1;2;1;10;2;2;9;1988;29;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2483,64123106325
4650063;1;3;1;10;1;2;10;2006;11;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;2483,64123106325
4650063;1;4;1;10;1;2;10;2013;4;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;06;19;2483,64123106325
4650063;1;5;1;10;1;1;8;1931;86;9;4;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2483,64123106325
4650065;1;1;1;10;1;1;3;1957;61;1;4;3; ;3; ; ; ;1; ; ;1;1;98;2;1;2; ;3;5; ; ;2;5;06;19;1644,99727499606
4650066;1;1;1;10;1;1;9;1977;40;1;2;2; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2581,96313299112
4650067;1;1;1;10;1;1;1;1975;43;1;2;2; ;2; ;1;2;2;1;24; ; ; ;1;1;2; ;3;5; ; ;2;5;06;19;1741,89298925953
4650067;1;2;1;10;2;2;2;1980;38;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1741,89298925953
4650068;1;1;1;10;1;1;8;1953;64;1;3;3; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1644,99727499606
4650069;1;1;1;10;1;1;2;1957;61;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1644,99727499606
4650070;1;1;1;10;1;2;7;1966;51;1;6;3; ;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1503,58725384775
4650070;1;2;1;10;1;2;4;1931;87;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1503,58725384775
4650071;1;1;1;10;1;1;5;1971;47;1;6;3; ;1;2; ; ;1; ; ;3; ; ;1;1;2; ;3;1; ; ;2;1;06;19;2415,48410164724
4650071;1;2;1;10;2;2;10;1933;84;5;5;3; ;3; ; ; ;1; ; ;3; ; ;1;2;2; ;1;0; ; ;2;0;06;19;2415,48410164724
4650072;1;1;1;10;1;1;7;1963;54;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;2415,48410164724
4650072;1;2;1;10;2;2;4;1962;56;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2415,48410164724
4650073;1;1;1;10;1;1;11;1978;39;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2286,12568352639
4650073;1;2;1;10;2;2;3;1986;32;2;2;2; ;2; ;1;1;1; ; ;3; ; ;1;1;2; ;3;5; ; ;2;5;06;19;2286,12568352639
4650073;1;3;1;10;2;2;2;2004;14;3;6;1;1;1;2; ; ;1; ; ;3; ; ;1;1;1;1;4;8; ; ;2;8;06;19;2286,12568352639
4650074;1;1;1;10;1;2;8;1967;50;1;4;1;2;3; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;06;19;1255,06821446161
4650074;1;2;1;10;2;1;6;1936;82;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1255,06821446161
4650074;1;3;1;10;3;1;7;1936;81;9;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1255,06821446161
4650075;1;1;1;10;1;1;5;1963;55;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1644,99727499606
4650077;1;1;1;10;1;2;10;1977;40;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;06;19;1255,06821446161
4650077;1;2;1;10;2;1;5;1986;32;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1255,06821446161
4650077;1;3;1;10;1;2;9;2006;11;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1255,06821446161
4650077;1;4;1;10;4;1;11;1943;74;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1255,06821446161
4650077;1;5;1;10;1;2;1;1952;66;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1255,06821446161
4650078;1;1;1;10;1;1;3;1966;52;1;3;3; ;1;3;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1575,41395791564
4650078;1;2;1;10;2;2;1;1965;53;2;3;2; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1575,41395791564
4650078;1;3;1;10;1;2;11;1933;84;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1575,41395791564
4650079;1;1;1;10;1;2;11;1959;58;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;2010,85968145083
4650079;1;2;1;10;1;1;3;1946;72;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2010,85968145083
4650079;1;3;1;10;3;1;12;1997;20;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2010,85968145083
4650080;1;1;1;10;1;2;1;1980;38;1;2;2; ;2; ;2; ;1; ; ;2;1;98;2;1;2; ;6;6;5; ;2;17;06;19;2748,44563847916
4650080;1;2;1;10;1;2;10;2009;8;3; ;2; ;1;1; ; ;1; ; ;2;5; ;2;1;1;1;3;3; ; ;2;3;06;19;2748,44563847916
4650080;1;3;1;10;1;1;9;2011;6;3; ;2; ;1;1; ; ;1; ; ;2;5; ;2;1;1;1;3;0; ; ;2;0;06;19;2748,44563847916
4650088;1;1;1;10;1;1;8;1969;48;1;6;3; ;1;2; ; ;1; ; ;3; ; ;2;1;1;2;3;3; ; ;2;3;06;19;4036,29092797961
4650088;1;2;1;10;2;2;3;1933;85;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;4036,29092797961
4650088;1;3;1;10;3;2;10;1997;20;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;06;19;4036,29092797961
4650088;1;4;1;10;4;2;12;2001;16;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;06;19;4036,29092797961
4650088;1;5;1;10;3;1;1;2008;10;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;06;19;4036,29092797961
4650089;1;1;1;10;1;1;3;1994;24;1;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2177,33871279471
4650089;1;2;1;10;2;1;8;1936;81;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2177,33871279471
4650090;1;1;1;10;1;1;11;1954;63;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1420,98652959923
4650090;1;2;1;10;2;2;3;1970;48;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1420,98652959923
4650090;1;3;1;10;3;1;4;1983;35;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1420,98652959923
4650090;1;4;1;10;3;2;11;2004;13;4;6;2; ;2; ; ; ;1; ; ;3; ; ;1;1;1;1;4;7; ; ;2;7;06;19;1420,98652959923
4650092;1;1;1;10;1;1;10;1938;79;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;1255,06821446161
4650092;1;2;1;10;2;2;6;1968;50;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1255,06821446161
4650093;1;1;1;10;1;2;6;1945;73;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2887,8900918462
4650093;1;2;1;10;2;2;4;2004;14;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;2887,8900918462
4650094;1;1;1;10;1;1;1;1948;70;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;2934,29288245908
4650094;1;2;1;10;1;2; ; ;52;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2934,29288245908
4650094;1;3;1;10;3;1;1;1995;23;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;06;19;2934,29288245908
4650094;1;4;1;10;4;1;1;1995;23;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;06;19;2934,29288245908
4650094;1;5;1;10;1;1; ; ;13;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;06;19;2934,29288245908
4650094;1;6;1;10;1;1;7;2006;11;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;06;19;2934,29288245908
4650095;1;1;1;10;1;2;5;1960;58;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2343,65739757934
4650096;1;1;1;10;1;1;1;1980;38;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;4399,54382998622
4650096;1;2;1;10;2;2;5;1985;33;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;4399,54382998622
4650096;1;3;1;10;2;1;12;2005;12;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;06;19;4399,54382998622
4650096;1;4;1;10;2;2;3;2010;8;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;06;19;4399,54382998622
4650096;1;5;1;10;2;2;4;2014;4;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;4399,54382998622
4650105;1;1;1;10;1;1;2;1940;78;1;4;3; ;3; ; ; ;1; ; ;3; ; ;1;1;2; ;3;4; ; ;2;4;06;19;1644,99727499606
4650106;1;1;1;10;1;1;3;1974;44;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;06;19;1741,89298925953
4650106;1;2;1;10;2;2;6;1980;38;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1741,89298925953
4650107;1;1;1;10;1;2;9;1956;61;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;1503,58725384775
4650107;1;2;1;10;2;2;6;1975;43;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1503,58725384775
4650108;1;1;1;10;1;2;10;1944;73;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;2566,24195531177
4650108;1;2;1;10;2;2;12;1983;34;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2566,24195531177
4650108;1;3;1;10;2;2;4;2011;7;4; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;06;19;2566,24195531177
4650111;1;1;1;10;1;2;5;1972;46;1;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2746,64041725715
4650111;1;2;1;10;1;1;3;2007;11;5;6;2; ;2; ; ; ;2;2; ; ; ; ;2;1;1;1;3;4; ; ;2;4;06;19;2746,64041725715
4650111;1;3;1;10;1;2;2;2008;10;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;06;19;2746,64041725715
4650112;1;1;1;10;1;1;5;1947;71;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1478,51824365218
4650112;1;2;1;10;2;2;3;1944;74;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;1478,51824365218
4650113;1;1;1;10;1;1;6;1950;68;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1881,50126332998
4650113;1;2;1;10;2;2;1;1968;50;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1881,50126332998
4650113;1;3;1;10;3;2;5;1999;19;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1881,50126332998
4650113;1;4;1;10;4;1;6;2001;17;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;06;19;1881,50126332998
4650114;1;1;1;10;1;1;10;1962;55;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1644,99727499606
4650115;1;1;1;10;1;1;5;1947;71;1;3;3; ;3; ;1;2;1; ; ;2;2;98;2;1;2; ;6;5;4; ;2;16;06;19;1494,24289547568
4650115;1;2;1;10;2;2;1;1948;70;2;3;3; ;3; ;1;1;1; ; ;2;2;98;2;1;2; ;6;5;4; ;2;16;06;19;1494,24289547568
4650115;1;3;1;10;2;1;9;2016;1;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;19;1494,24289547568
4650116;1;1;1;10;1;1;8;1964;53;1;3;3; ;3; ;1;2;1; ; ;3; ; ;1;1;2; ;3;3; ; ;2;3;06;19;2274,23442705818
4650116;1;2;1;10;2;2;3;1964;54;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2274,23442705818
4650116;1;3;1;10;2;1;6;2002;16;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;06;19;2274,23442705818
4650117;1;1;1;10;1;1;9;1982;35;1;3;2; ;2; ;1;2;1; ; ;1;1;98;2;1;2; ;4;6; ; ;2;6;06;19;3867,20239218757
4650117;1;2;1;10;2;2;6;1987;31;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;3867,20239218757
4650117;1;3;1;10;2;2;2;2009;9;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;06;19;3867,20239218757
4650117;1;4;1;10;2;2;10;2014;3;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;3867,20239218757
4650118;1;1;1;10;1;1;7;1977;40;1;2;2; ;2; ;2; ;1; ; ;1;1;98;1;1;2; ;5;11;2; ;2;11;06;19;2581,96313299112
4650119;1;1;1;10;1;1;10;1953;64;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2010,85968145083
4650119;1;2;1;10;2;2;10;1959;58;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;2010,85968145083
4650119;1;3;1;10;3;1;7;1999;18;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2010,85968145083
4650120;1;1;1;10;1;1;9;1979;38;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;10;1; ;2;10;06;19;1741,89298925953
4650120;1;2;1;10;2;2;6;1987;31;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1741,89298925953
4650121;1;1;1;10;1;1;4;1962;56;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1255,06821446161
4650121;1;2;1;10;2;2;12;1988;29;5;2;3; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1255,06821446161
4650121;1;3;1;10;2;1;2;2011;7;5; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;06;19;1255,06821446161
4650122;1;1;1;10;1;1;10;1966;51;1;2;3; ;3; ;1;2;2;1;6; ; ; ;2;1;2; ;6;4;3; ;2;15;06;19;2835,99699437057
4650122;1;2;1;10;2;2;3;1988;30;2;2;3; ;2; ;1;1;2;1;5; ; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2835,99699437057
4650122;1;3;1;10;1;1;2;2010;8;3; ;2; ;1;2; ; ;2;1;5; ; ; ;2;1;1;1;3;2; ; ;2;2;06;19;2835,99699437057
4650122;1;4;1;10;1;2;12;2015;2;3; ;1;1;1;2; ; ;2;1;5; ; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2835,99699437057
4650122;1;5;1;10;1;1;11;2017;0;3; ;1;1;1;2; ; ;2;1;5; ; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2835,99699437057
4650123;1;1;1;10;1;1;8;1995;22;1;2;2; ;2; ;1;2;2;1;2; ; ; ;2;1;2; ;4;6; ; ;2;6;06;19;2233,8570266373
4650123;1;2;1;10;2;2;4;1989;29;2;2;2; ;2; ;1;1;1; ; ;3; ; ;1;1;2; ;5;11;2; ;2;11;06;19;2233,8570266373
4650123;1;3;1;10;2;1;2;2011;7;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;06;19;2233,8570266373
4650123;1;4;1;10;2;1;7;2017;0;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2233,8570266373
4650124;1;1;1;10;1;1;9;1954;63;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1550,34494772007
4650124;1;2;1;10;2;2;1;1959;59;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1550,34494772007
4650124;1;3;1;10;2;1;11;1982;35;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1550,34494772007
4650125;1;1;1;10;1;1;4;1971;47;1;3;3; ;2; ;1;2;1; ; ;3; ; ;1;1;2; ;3;5; ; ;2;5;06;19;1829,44434515093
4650125;1;2;1;10;2;2;3;1972;46;2;3;2; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1829,44434515093
4650125;1;3;1;10;3;1;7;1991;27;3;6;1;1;1;2; ; ;1; ; ;3; ; ;1;1;2; ;4;9; ; ;2;9;06;19;1829,44434515093
4650125;1;4;1;10;2;1;10;2012;5;4; ;2; ;2; ; ; ;1; ; ;3; ; ;1;2;1;1;3;0; ; ;2;0;06;19;1829,44434515093
4650126;1;1;1;10;1;1;11;1949;68;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1644,99727499606
4650127;1;1;1;10;1;1;4;1960;58;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1255,06821446161
4650127;1;2;1;10;2;2;2;1964;54;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1255,06821446161
4650127;1;3;1;10;2;2;6;1986;32;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1255,06821446161
4650127;1;4;1;10;4;1;4;1997;21;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;06;19;1255,06821446161
4650128;1;1;1;10;1;1;10;1981;36;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2286,12568352639
4650128;1;2;1;10;2;2;7;1985;32;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;06;19;2286,12568352639
4650128;1;3;1;10;2;2;8;2005;12;3;6;1;1;1;2; ; ;1; ; ;3; ; ;9;1;1;1;4;6; ; ;2;6;06;19;2286,12568352639
