DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4653846;1;2;1;70;2;16;25;1; ;2;20;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;61;01;1;2;06;0140;73;1467,87143176623
4653992;1;3;1;70;2;2;40;3; ;2;5;3; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;54;54;95;1;1;06;9500;08;2109,41953520173
4653993;1;4;1;70;2;16;48;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;95;45;1;2;06;4521;08;3233,26074900031
4654002;1;7;1;70;2;16;50;3; ;2;24;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;95;1;2;06;9500;08;3293,94970159942
4654165;1;2;1;70;2;4;56;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ;1;BUSCAR TRABAJO; ;2; ;841242;2; ;39;39;60;1;1;06;6021;13;1706,7259337034
4654167;1;2;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;783000; ; ;39; ; ;1;2;06; ;13;1585,06112569856
4654321;1;3;1;70;2;24;40;1; ;2;24;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781212;2; ;45;45;52;1;2;06;5229;15;1091,06159911677
4654345;1;3;1;70;2;12;40;3; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;39;55;1;1;06;5511;15;1004,56042966631
4654431;1;2;1;70;2;8;44;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;06; ;15;1141,5983755757
4654437;1;3;1;70;2;8;44;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;720000;2; ;95;61;01;1;1;06;0118;15;1141,5983755757
4654495;1;3;1;70;2;24;40;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;53;55;1;2;06;5521;68;3544,89226330299
4654589;1;2;1;70;2;8;40;3; ;2;8;3; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;1;06;9500;18;1604,85799993905
4654647;1;3;1;70;2;20;45;8; ;2;20;4; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;62;61;01;1;2;06;0140;18;827,114391738887
4654677;1;1;1;70;2;2;48;3; ;2;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;54;54;74;1;1;06;7493;18;1414,35274846781
4654727;1;3;1;70;2;8;48;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;61;61;01;1;1;06;0140;18;1164,2890598558
4658338;1;1;1;70;2;4;72;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;840000;2; ;95;98;60;1;1;06;6031;76;5736,1559575449
4658484;1;3;1;70;2;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;32; ; ;1;1;06; ;15;2262,40988007132
4658487;1;2;1;70;2;1;30;1; ;2;5;4; ;1;2;3; ; ;1; ; ; ; ; ; ; ; ;1;300000;800000;1;2;11;41;15;1;1;06;1530;18;672,414288247119
