DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4634549;1;3;1;2;1;4;1;1;4;1; ; ;60000000;200000; ;2;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;1;1;01;2;06;66;1122,95228099973
4634551;1;2;2;2;1;5;1;5;5;4; ; ; ;50000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;7;3;1;1;2;2;2; ;1;1;01;2;06;66;1046,83020718465
4634552;1;3;2;2;1;4;1;1;4;1; ; ;100000000;300000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;4;2;1;1;2;2;2; ;1;1;01;2;06;66;1266,09037728598
4634553;1;3;2;2;1;4;1;1;4;1; ; ;50000000;150000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;1;1;01;2;06;66;1218,45370758623
4634555;1;3;2;2;1;4;1;1;4;1; ; ;40000000;150000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;1;3;4;2; ;1;1;4;2;1;1;2;2;2; ;1;1;01;2;06;66;638,284437853723
4634557;1;5;1;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;1;1;4;1;1;2;2;2; ;1;1;01;2;06;66;1170,58895069947
4634558;1;2;2;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;4;4;1;1;2;2;2; ;1;1;01;2;06;66;972,986503797014
4634559;1;3;1;2;1;4;1;1;5;3; ; ; ; ;150000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;1;1;01;2;06;66;781,683947738232
4634560;1;2;2;2;1;1;1;1;4;4; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;4;4;2; ;1;1;1;2;1;2;2;2;1;1;1;1;01;2;06;66;763,514470995875
4634561;1;2;1;2;1;1;1;1;4;4; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;4;2; ;1;1;4;2;1;2;2;2;1;1;1;1;01;2;06;66;1898,38454712196
4634562;1;5;1;2;1;1;1;1;4;1; ; ;78000000;200000; ;2;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;2;2;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;06;66;1122,95228099973
4634564;1;5;1;2;1;1;1;1;4;3; ; ; ; ;200000;2;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;1;1;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;06;66;1094,4668768844
4634565;1;2;1;2;1;1;1;1;4;4; ; ; ;200000; ;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;4;1;3;2;2;1;1;1;1;01;2;06;66;1467,87143176623
4634568;1;4;2;2;1;1;1;1;4;4; ; ; ;150000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;1;2;4;2; ;1;1;1;2;1;4;2;2;1;1;1;1;01;2;06;66;2316,26584861956
4634569;1;3;1;2;1;1;1;1;4;4; ; ; ;300000; ;2;1;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;4;1;3;2;2;1;1;1;1;01;2;06;66;705,56187392316
4634571;1;3;2;2;1;1;1;1;4;4; ; ; ;200000; ;2;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;4;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;06;66;1862,50171388538
4634572;1;2;2;2;1;1;1;1;4;3; ; ; ; ;180000;2;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;2;1;2;2;2;1;2;1;1;01;2;06;66;734,538172459517
4634573;1;5;3;1;1;1;1;1;3;3; ; ; ; ;320000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;5;2; ;1;1;1;2;1;2;1;1;1;2;1;1;01;2;06;66;982,283746676172
4634575;1;3;3;1;1;1;1;1;4;1; ; ;98;800000; ;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;4;1;4;2;1;1;2;1;1;01;2;06;66;1075,31561129998
4634576;1;7;2;1;1;1;1;1;3;1; ; ;98;98; ;2;1;2;1;1;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;1;3;3;2; ;1;1;1;5;1;6;1;1;1;2;1;1;01;2;06;66;1133,6588666082
4634577;1;5;3;2;1;1;1;1;4;1; ; ;98;300000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3;4;2; ;1;1;1;4;1;2;2;2;1;2;1;2;01;2;06;66;1330,45861463788
4634578;1;3;1;1;1;1;1;1;3;3; ; ; ; ;280000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;2;06;66;1094,4668768844
4634580;1;2;2;2;1;1;1;1;4;3; ; ; ; ;500000;2;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;1;1;2;1;4;4;2; ;1;2;1;4;1;2;2;2;1;2;1;1;01;2;06;66;1030,21438896801
