DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4634597;1;1;1;50;05;1;1; ;2;6;CAMINAR;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1182,26789886433
4634597;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634598;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634599;1;1;1;50;05;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1186,10085224936
4634599;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634600;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1143,2558318588
4634601;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634601;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634601;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634602;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1103,38705422357
4634602;1;2;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1103,38705422357
4634602;1;3;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1103,38705422357
4634603;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1111,10332035623
4634603;1;2;1;50;05;1; ; ;2;6;CUIDAR MAMA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1111,10332035623
4634603;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1111,10332035623
4634604;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634604;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634605;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634605;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634606;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634606;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634607;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1114,93627374126
4634607;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1114,93627374126
4634607;1;3;1;50;05;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1114,93627374126
4634608;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1080,99718704117
4634608;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1080,99718704117
4634608;1;3;1;50;05;1;1; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1080,99718704117
4634608;1;5;1;50;05;1;2; ;5;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1080,99718704117
4634610;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634611;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634611;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634612;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634612;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634612;1;3;1;50;05;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1084,89537435122
4634613;1;1;1;50;05;1; ; ;1;6;DILIGENCIAS PERSONALES;2;2;2;2;1;13;ESTA RECIEN PENSIONADO; ; ; ; ; ;06;2;1;05;959,756596357476
4634613;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634613;1;3;1;50;05;1; ; ;1;6;JUGAR FUTBOLL;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634613;1;4;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634614;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1096,44459386891
4634614;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1096,44459386891
4634614;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;1;11; ; ; ; ; ; ;06;2;1;05;1096,44459386891
4634615;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1107,22000760859
4634615;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1107,22000760859
4634615;1;3;1;50;05;1; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1107,22000760859
4634616;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1206,13596503491
4634616;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1206,13596503491
4634616;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1206,13596503491
4634617;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634617;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634618;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1172,74738660748
4634618;1;2;1;50;05;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1172,74738660748
4634618;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1172,74738660748
4634619;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1506,82187265052
4634619;1;2;1;50;05;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1506,82187265052
4634619;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1506,82187265052
4634620;1;1;1;50;05;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1038,63744099824
4634620;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;06;2;1;05;1038,63744099824
4634620;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1038,63744099824
4634621;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1331,27474302865
4634621;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1331,27474302865
4634622;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1514,53813878319
4634622;1;2;1;50;05;1; ; ;3;4; ;2;2;2;2;1;7; ;2; ;2; ; ;06;1;1;05;1514,53813878319
4634622;1;3;1;50;05;1;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1514,53813878319
4634623;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634623;1;2;1;50;05;1; ; ;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634624;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634624;1;2;1;50;05;1; ; ;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1186,10085224936
4634625;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634626;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1498,77326706532
4634626;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1498,77326706532
4634627;1;1;1;50;05;1; ; ;1;6;HACER GIMNACIA ESTAR EN LA IGLESIA Y PASEAR;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1083,64047286839
4634627;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1083,64047286839
4634628;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1150,97209799146
4634629;1;1;1;50;05;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1107,22000760859
4634629;1;2;1;50;05;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1107,22000760859
4634629;1;3;1;50;05;1;1; ;3;6;VAGAR;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1107,22000760859
4634630;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1150,97209799146
